pool_size,fnr_Individual,fpr_Individual,eff_Individual,fnr_Dorfman,fpr_Dorfman,eff_Dorfman,fnr_FeatCostly,fpr_FeatCostly,eff_FeatCostly,fnr_FeatCheap,fpr_FeatCheap,eff_FeatCheap
5.0,0.014675052410901468,0.0012075631587309995,1.0,0.05870020964360587,2.118531857422806e-05,4.437470769806379,0.027253668763102725,1.059265928711403e-05,4.412295386904762,0.0,1.059265928711403e-05,2.2822437100110644
5.0,0.024896265560165973,0.0008257463476603853,1.0,0.03941908713692946,2.1172983273343213e-05,4.425375221403934,0.03941908713692946,0.0,4.4175507165456915,0.0,0.0,2.2823693446800326
5.0,0.02231237322515213,0.0010264876133633872,1.0,0.034482758620689655,3.174703958855837e-05,4.417523136306562,0.02231237322515213,0.0,4.416496187465129,0.0,1.0582346529519455e-05,2.2827549745265787
5.0,0.016842105263157894,0.0010961791831357048,1.0,0.04,2.1080368906455864e-05,4.430762081784387,0.008421052631578947,0.0,4.427059151267527,0.0,0.0,2.2927286717322306
5.0,0.023060796645702306,0.0010139309893220393,1.0,0.029350104821802937,1.0561781138771243e-05,4.434823134641376,0.014675052410901468,1.0561781138771243e-05,4.415684454756381,0.0,0.0,2.2872319969233725
5.0,0.010752688172043012,0.0010671682005008293,1.0,0.025806451612903226,4.2264087148547704e-05,4.443883749182319,0.021505376344086023,0.0,4.427334512615213,0.0,2.1132043574273852e-05,2.2892215857122227
5.0,0.02208835341365462,0.0009569679888949649,1.0,0.03614457831325301,1.0516131746098515e-05,4.419733678564824,0.0321285140562249,0.0,4.435730858468678,0.0,1.0516131746098515e-05,2.2959600326656098
5.0,0.014767932489451477,0.001087714110714512,1.0,0.052742616033755275,4.2241324687942213e-05,4.449389873299359,0.016877637130801686,1.0560331171985553e-05,4.414509694776881,0.0,0.0,2.2867028689509348
5.0,0.014957264957264958,0.0011722710375126732,1.0,0.042735042735042736,1.056100033795201e-05,4.4409390021934945,0.03205128205128205,0.0,4.422980384865669,0.0,0.0,2.2878438161184844
5.0,0.03036876355748373,0.0009091197395266234,1.0,0.03253796095444685,1.0571159761937482e-05,4.455078033462999,0.013015184381778741,0.0,4.427892677473449,0.0,0.0,2.288018100418813
5.0,0.0175054704595186,0.001023066457131406,1.0,0.04157549234135667,3.164123063293008e-05,4.461459211388967,0.0437636761487965,0.0,4.450621321124919,0.002188183807439825,0.0,2.295883940620783
5.0,0.023060796645702306,0.0010906973050246202,1.0,0.0649895178197065,0.0,4.438666230182855,0.03773584905660377,0.0,4.416154848315652,0.0,0.0,2.282745682813026
5.0,0.02335456475583864,0.001173001933868053,1.0,0.036093418259023353,2.113516997960456e-05,4.44392523364486,0.012738853503184714,0.0,4.416682147501393,0.0,0.0,2.287267304824667
5.0,0.01956521739130435,0.0010862458079348675,1.0,0.034782608695652174,0.0,4.44578200821202,0.034782608695652174,0.0,4.4470269765705215,0.004347826086956522,0.0,2.295730531996916
5.0,0.026748971193415638,0.0011042635088235912,1.0,0.0411522633744856,0.0,4.440046457607433,0.012345679012345678,1.051679532212944e-05,4.429961991285807,0.0,1.051679532212944e-05,2.295196926032661
5.0,0.008928571428571428,0.0008741074625608189,1.0,0.03794642857142857,1.0531415211576131e-05,4.466176677121857,0.020089285714285716,2.1062830423152263e-05,4.448890132437978,0.0,0.0,2.2974040360256227
5.0,0.017204301075268817,0.000946421999053578,1.0,0.04086021505376344,1.05157999894842e-05,4.4525207343211255,0.004301075268817204,0.0,4.4425848442584845,0.0,0.0,2.2998796630565583
5.0,0.01263157894736842,0.0010842904213994716,1.0,0.03368421052631579,2.1054182939795564e-05,4.429247471467013,0.008421052631578947,1.0527091469897782e-05,4.437482569489634,0.0,1.0527091469897782e-05,2.2967810229514507
5.0,0.023157894736842106,0.000994046297177543,1.0,0.037894736842105266,0.0,4.438331854480923,0.02736842105263158,0.0,4.414622816796729,0.0,0.0,2.2850067320638585
5.0,0.014344262295081968,0.0009078433442415286,1.0,0.030737704918032786,1.0556317956296844e-05,4.426891068854898,0.02663934426229508,0.0,4.413962544038569,0.0,0.0,2.287464565415846
